Element, Terminal,  I1, AmpsOver, kVAOver, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1
"Transformer.XFM1"    , 1,    42.30,    50.56,     200.67,    166.2,    121.9,     42.3,    100.0,     42.3,    100.0
"Line.671684"         , 1,   655.71,   255.71,     957.70,    163.9,    109.3,      0.0,      0.0,      0.0,      0.0
"Line.671680"         , 1,   128.25,    46.58,     100.91,    111.6,     74.4,    168.7,    131.5,    170.2,    132.7
